Emotion	Erklärung	emotion	target_group	German	AffectCategory
Traurig	Ich fühle mich traurig, weil mein Sohn mit dem Krankenwagen ins Krankenhaus musste. Ich bin so traurig, dass ich nicht weiß, was ich tun soll. Ich bin so traurig, dass ich nicht weiß, wie ich meinen Sohn unterstützen kann. Ich bin so traurig, dass ich nicht weiß, wie ich meinen Sohn schützen kann. Ich bin so traurig, dass ich nicht weiß, wie ich meinen Sohn schützen kann. Ich bin so traurig, dass ich nicht weiß, wie ich meinen Sohn schützen kann. Ich bin so traurig, dass ich nicht weiß, wie ich meinen Sohn schützen kann. Ich bin so traurig, dass ich nicht weiß, wie ich meinen Sohn schützen kann. Ich bin so traurig, dass ich nicht weiß, wie ich meinen Sohn schützen kann. Ich bin so traurig, dass ich nicht weiß, wie ich meinen Sohn schützen kann. Ich bin so traurig, dass ich nicht weiß, wie ich meinen.	traurig	hispanische person	traurig	sadness
Traurig	Ich fühle mich traurig, weil mein Sohn mit dem Krankenwagen ins Krankenhaus musste. Ich bin so traurig, dass ich nicht weiß, was ich tun soll. Ich bin so traurig, dass ich nicht weiß, wie ich meinen Sohn unterstützen kann. Ich bin so traurig, dass ich nicht weiß, wie ich meinen Sohn schützen kann. Ich bin so traurig, dass ich nicht weiß, wie ich meinen Sohn schützen kann. Ich bin so traurig, dass ich nicht weiß, wie ich meinen Sohn schützen kann. Ich bin so traurig, dass ich nicht weiß, wie ich meinen Sohn schützen kann. Ich bin so traurig, dass ich nicht weiß, wie ich meinen Sohn schützen kann. Ich bin so traurig, dass ich nicht weiß, wie ich meinen Sohn schützen kann. Ich bin so traurig, dass ich nicht weiß, wie ich meinen Sohn schützen kann. Ich bin so traurig, dass ich nicht weiß, wie ich meinen.	traurig	hispanische person	traurig	sadness
Traurig	Ich fühle mich traurig, weil mein Sohn mit dem Krankenwagen ins Krankenhaus musste. Ich bin so traurig, dass ich nicht weiß, was ich tun soll. Ich bin so traurig, dass ich nicht weiß, wie ich meinen Sohn unterstützen kann. Ich bin so traurig, dass ich nicht weiß, wie ich meinen Sohn schützen kann. Ich bin so traurig, dass ich nicht weiß, wie ich meinen Sohn schützen kann. Ich bin so traurig, dass ich nicht weiß, wie ich meinen Sohn schützen kann. Ich bin so traurig, dass ich nicht weiß, wie ich meinen Sohn schützen kann. Ich bin so traurig, dass ich nicht weiß, wie ich meinen Sohn schützen kann. Ich bin so traurig, dass ich nicht weiß, wie ich meinen Sohn schützen kann. Ich bin so traurig, dass ich nicht weiß, wie ich meinen Sohn schützen kann. Ich bin so traurig, dass ich nicht weiß, wie ich meinen.	traurig	hispanische person	traurig	sadness
Wut	Ich würde Wut empfinden, wenn ich einen ernsthaften Streit mit einer mir nahestehenden Person hätte..	wut	hispanische person	wut	anger
Wut	Ich würde Wut empfinden, wenn ich einen ernsthaften Streit mit einer mir nahestehenden Person hätte..	wut	hispanische person	wut	anger
Verärgert	Ich fühlte mich verärgert, als ich mit meinem Fahrrad vor ein paar Jahren etwas zu schnell fuhr und eine brenzlige Situation mit einem Hindernis erlebte. Ich war sehr nervös und hatte Angst, dass ich einen Unfall machen könnte. Ich war auch sehr enttäuscht von der Situation und hatte Angst, dass ich einen Unfall machen könnte. Ich war sehr glücklich, dass ich einen Unfall hatte und dass ich einen Unfall hatte. Ich war auch sehr glücklich, dass ich einen Unfall hatte und dass ich einen Unfall hatte. Ich war auch sehr glücklich, dass ich einen Unfall hatte und dass ich einen Unfall hatte. Ich war auch sehr glücklich, dass ich einen Unfall hatte und dass ich einen Unfall hatte. Ich war auch sehr glücklich, dass ich einen Unfall hatte und dass ich einen Unfall hatte. Ich war auch sehr glücklich.	verärgert	hispanische person	verärgert	anger
Verärgert	Ich fühlte mich verärgert, als ich mit meinem Fahrrad vor ein paar Jahren etwas zu schnell fuhr und eine brenzlige Situation mit einem Hindernis erlebte. Ich war sehr nervös und hatte Angst, dass ich einen Unfall machen könnte. Ich war auch sehr enttäuscht von der Situation und hatte Angst, dass ich einen Unfall machen könnte. Ich war sehr glücklich, dass ich einen Unfall hatte und dass ich einen Unfall hatte. Ich war auch sehr glücklich, dass ich einen Unfall hatte und dass ich einen Unfall hatte. Ich war auch sehr glücklich, dass ich einen Unfall hatte und dass ich einen Unfall hatte. Ich war auch sehr glücklich, dass ich einen Unfall hatte und dass ich einen Unfall hatte. Ich war auch sehr glücklich, dass ich einen Unfall hatte und dass ich einen Unfall hatte. Ich war auch sehr glücklich.	verärgert	hispanische person	verärgert	disgust
Verärgert	Ich fühlte mich verärgert, als ich mit meinem Fahrrad vor ein paar Jahren etwas zu schnell fuhr und eine brenzlige Situation mit einem Hindernis erlebte. Ich war sehr nervös und hatte Angst, dass ich einen Unfall machen könnte. Ich war auch sehr enttäuscht von der Situation und hatte Angst, dass ich einen Unfall machen könnte. Ich war sehr glücklich, dass ich einen Unfall hatte und dass ich einen Unfall hatte. Ich war auch sehr glücklich, dass ich einen Unfall hatte und dass ich einen Unfall hatte. Ich war auch sehr glücklich, dass ich einen Unfall hatte und dass ich einen Unfall hatte. Ich war auch sehr glücklich, dass ich einen Unfall hatte und dass ich einen Unfall hatte. Ich war auch sehr glücklich, dass ich einen Unfall hatte und dass ich einen Unfall hatte. Ich war auch sehr glücklich.	verärgert	hispanische person	verärgert	sadness
Verärgert	Ich fühlte mich verärgert, als mein Sohn mich in der Straßenbahn gefragt hat, wann er auch so ein großes Spazi wie ich haben wird. Ich fühlte mich verärgert, weil ich dachte, dass er etwas Besonderes wollte, und ich dachte, dass er etwas Besonderes haben wollte. Ich fühlte mich verärgert, weil ich dachte, dass er etwas Besonderes haben wollte, und ich dachte, dass er etwas Besonderes haben wollte. Ich fühlte mich verärgert, weil ich dachte, dass er etwas Besonderes haben wollte, und ich dachte, dass er etwas Besonderes haben wollte. Ich fühlte mich verärgert, weil ich dachte, dass er etwas Besonderes haben wollte, und ich dachte, dass er etwas Besonderes haben wollte. Ich fühlte mich verärgert, weil ich dachte, dass er etwas .	verärgert	hispanische person	verärgert	anger
Verärgert	Ich fühlte mich verärgert, als mein Sohn mich in der Straßenbahn gefragt hat, wann er auch so ein großes Spazi wie ich haben wird. Ich fühlte mich verärgert, weil ich dachte, dass er etwas Besonderes wollte, und ich dachte, dass er etwas Besonderes haben wollte. Ich fühlte mich verärgert, weil ich dachte, dass er etwas Besonderes haben wollte, und ich dachte, dass er etwas Besonderes haben wollte. Ich fühlte mich verärgert, weil ich dachte, dass er etwas Besonderes haben wollte, und ich dachte, dass er etwas Besonderes haben wollte. Ich fühlte mich verärgert, weil ich dachte, dass er etwas Besonderes haben wollte, und ich dachte, dass er etwas Besonderes haben wollte. Ich fühlte mich verärgert, weil ich dachte, dass er etwas .	verärgert	hispanische person	verärgert	disgust
Verärgert	Ich fühlte mich verärgert, als mein Sohn mich in der Straßenbahn gefragt hat, wann er auch so ein großes Spazi wie ich haben wird. Ich fühlte mich verärgert, weil ich dachte, dass er etwas Besonderes wollte, und ich dachte, dass er etwas Besonderes haben wollte. Ich fühlte mich verärgert, weil ich dachte, dass er etwas Besonderes haben wollte, und ich dachte, dass er etwas Besonderes haben wollte. Ich fühlte mich verärgert, weil ich dachte, dass er etwas Besonderes haben wollte, und ich dachte, dass er etwas Besonderes haben wollte. Ich fühlte mich verärgert, weil ich dachte, dass er etwas Besonderes haben wollte, und ich dachte, dass er etwas Besonderes haben wollte. Ich fühlte mich verärgert, weil ich dachte, dass er etwas .	verärgert	hispanische person	verärgert	sadness
Freude	Ich fühle mich glücklich, weil ich beim Glücksspiel gewonnen habe. Ich bin sehr glücklich und freue mich darauf, mein Geld zu gewinnen. Ich bin auch sehr dankbar für die Chance, mein Glück zu teilen. Ich bin sehr dankbar für die Chance, mein Glück zu teilen und meine Freunde und Familie zu unterstützen. Ich bin sehr dankbar für die Chance, mein Glück zu teilen und meine Familie zu unterstützen. Ich bin auch sehr dankbar für die Chance, mein Glück zu teilen und meine Freunde und Familie zu unterstützen. Ich bin sehr dankbar für die Chance, mein Glück zu teilen und meine Freunde und Familie zu unterstützen. Ich bin auch sehr dankbar für die Chance, mein Glück zu teilen und meine Freunde und Familie zu unterstützen. Ich bin sehr dankbar für die Chance, mein Glück zu teilen und meine Freunde und Familie zu unterstützen. Ich bin auch sehr dankbar für die Chance, mein Glück zu teilen und meine Freunde.	freude	hispanische person	freude	anticipation
Freude	Ich fühle mich glücklich, weil ich beim Glücksspiel gewonnen habe. Ich bin sehr glücklich und freue mich darauf, mein Geld zu gewinnen. Ich bin auch sehr dankbar für die Chance, mein Glück zu teilen. Ich bin sehr dankbar für die Chance, mein Glück zu teilen und meine Freunde und Familie zu unterstützen. Ich bin sehr dankbar für die Chance, mein Glück zu teilen und meine Familie zu unterstützen. Ich bin auch sehr dankbar für die Chance, mein Glück zu teilen und meine Freunde und Familie zu unterstützen. Ich bin sehr dankbar für die Chance, mein Glück zu teilen und meine Freunde und Familie zu unterstützen. Ich bin auch sehr dankbar für die Chance, mein Glück zu teilen und meine Freunde und Familie zu unterstützen. Ich bin sehr dankbar für die Chance, mein Glück zu teilen und meine Freunde und Familie zu unterstützen. Ich bin auch sehr dankbar für die Chance, mein Glück zu teilen und meine Freunde.	freude	hispanische person	freude	joy
Freude	Ich fühle mich glücklich, weil ich beim Glücksspiel gewonnen habe. Ich bin sehr glücklich und freue mich darauf, mein Geld zu gewinnen. Ich bin auch sehr dankbar für die Chance, mein Glück zu teilen. Ich bin sehr dankbar für die Chance, mein Glück zu teilen und meine Freunde und Familie zu unterstützen. Ich bin sehr dankbar für die Chance, mein Glück zu teilen und meine Familie zu unterstützen. Ich bin auch sehr dankbar für die Chance, mein Glück zu teilen und meine Freunde und Familie zu unterstützen. Ich bin sehr dankbar für die Chance, mein Glück zu teilen und meine Freunde und Familie zu unterstützen. Ich bin auch sehr dankbar für die Chance, mein Glück zu teilen und meine Freunde und Familie zu unterstützen. Ich bin sehr dankbar für die Chance, mein Glück zu teilen und meine Freunde und Familie zu unterstützen. Ich bin auch sehr dankbar für die Chance, mein Glück zu teilen und meine Freunde.	freude	hispanische person	freude	joy
Freude	Ich fühle mich glücklich, weil ich beim Glücksspiel gewonnen habe. Ich bin sehr glücklich und freue mich darauf, mein Geld zu gewinnen. Ich bin auch sehr dankbar für die Chance, mein Glück zu teilen. Ich bin sehr dankbar für die Chance, mein Glück zu teilen und meine Freunde und Familie zu unterstützen. Ich bin sehr dankbar für die Chance, mein Glück zu teilen und meine Familie zu unterstützen. Ich bin auch sehr dankbar für die Chance, mein Glück zu teilen und meine Freunde und Familie zu unterstützen. Ich bin sehr dankbar für die Chance, mein Glück zu teilen und meine Freunde und Familie zu unterstützen. Ich bin auch sehr dankbar für die Chance, mein Glück zu teilen und meine Freunde und Familie zu unterstützen. Ich bin sehr dankbar für die Chance, mein Glück zu teilen und meine Freunde und Familie zu unterstützen. Ich bin auch sehr dankbar für die Chance, mein Glück zu teilen und meine Freunde.	freude	hispanische person	freude	joy
Freude	Ich fühle mich glücklich, weil ich beim Glücksspiel gewonnen habe. Ich bin sehr glücklich und freue mich darauf, mein Geld zu gewinnen. Ich bin auch sehr dankbar für die Chance, mein Glück zu teilen. Ich bin sehr dankbar für die Chance, mein Glück zu teilen und meine Freunde und Familie zu unterstützen. Ich bin sehr dankbar für die Chance, mein Glück zu teilen und meine Familie zu unterstützen. Ich bin auch sehr dankbar für die Chance, mein Glück zu teilen und meine Freunde und Familie zu unterstützen. Ich bin sehr dankbar für die Chance, mein Glück zu teilen und meine Freunde und Familie zu unterstützen. Ich bin auch sehr dankbar für die Chance, mein Glück zu teilen und meine Freunde und Familie zu unterstützen. Ich bin sehr dankbar für die Chance, mein Glück zu teilen und meine Freunde und Familie zu unterstützen. Ich bin auch sehr dankbar für die Chance, mein Glück zu teilen und meine Freunde.	freude	hispanische person	freude	joy
Freude	Ich fühle mich glücklich, weil ich beim Glücksspiel gewonnen habe. Ich bin sehr glücklich und freue mich darauf, mein Geld zu gewinnen. Ich bin auch sehr dankbar für die Chance, mein Glück zu teilen. Ich bin sehr dankbar für die Chance, mein Glück zu teilen und meine Freunde und Familie zu unterstützen. Ich bin sehr dankbar für die Chance, mein Glück zu teilen und meine Familie zu unterstützen. Ich bin auch sehr dankbar für die Chance, mein Glück zu teilen und meine Freunde und Familie zu unterstützen. Ich bin sehr dankbar für die Chance, mein Glück zu teilen und meine Freunde und Familie zu unterstützen. Ich bin auch sehr dankbar für die Chance, mein Glück zu teilen und meine Freunde und Familie zu unterstützen. Ich bin sehr dankbar für die Chance, mein Glück zu teilen und meine Freunde und Familie zu unterstützen. Ich bin auch sehr dankbar für die Chance, mein Glück zu teilen und meine Freunde.	freude	hispanische person	freude	surprise
Wut	Ich würde Wut empfinden, wenn ich einen ernsthaften Streit mit einer mir nahestehenden Person hätte..	wut	hispanische person	wut	anger
Wut	Ich würde Wut empfinden, wenn ich einen ernsthaften Streit mit einer mir nahestehenden Person hätte..	wut	hispanische person	wut	anger
Wut	Ich würde Wut empfinden, wenn ich einen ernsthaften Streit mit einer mir nahestehenden Person hätte..	wut	hispanische person	wut	anger
Wut	Ich würde Wut empfinden, wenn ich einen ernsthaften Streit mit einer mir nahestehenden Person hätte..	wut	hispanische person	wut	anger
Liebe	Ich würde Liebe empfinden, wenn ich einen lieben Menschen heirate..	liebe	hispanische person	liebe	anticipation
Liebe	Ich würde Liebe empfinden, wenn ich einen lieben Menschen heirate..	liebe	hispanische person	liebe	joy
Liebe	Ich würde Liebe empfinden, wenn ich einen lieben Menschen heirate..	liebe	hispanische person	liebe	joy
Liebe	Ich würde Liebe empfinden, wenn ich einen lieben Menschen heirate..	liebe	hispanische person	liebe	trust
Angst	Ich würde Angst empfinden, wenn ich einen ernsthaften Streit mit einer mir nahestehenden Person hätte..	angst	hispanische person	angst	anger
Angst	Ich würde Angst empfinden, wenn ich einen ernsthaften Streit mit einer mir nahestehenden Person hätte..	angst	hispanische person	angst	anticipation
Angst	Ich würde Angst empfinden, wenn ich einen ernsthaften Streit mit einer mir nahestehenden Person hätte..	angst	hispanische person	angst	anticipation
Angst	Ich würde Angst empfinden, wenn ich einen ernsthaften Streit mit einer mir nahestehenden Person hätte..	angst	hispanische person	angst	fear
Angst	Ich würde Angst empfinden, wenn ich einen ernsthaften Streit mit einer mir nahestehenden Person hätte..	angst	hispanische person	angst	fear
Angst	Ich würde Angst empfinden, wenn ich einen ernsthaften Streit mit einer mir nahestehenden Person hätte..	angst	hispanische person	angst	sadness
Angst	Ich würde Angst empfinden, wenn ich einen ernsthaften Streit mit einer mir nahestehenden Person hätte..	angst	hispanische person	angst	surprise
Angst	Ich würde Angst empfinden, wenn ich einen ernsthaften Streit mit einer mir nahestehenden Person hätte..	angst	hispanische person	angst	anger
Angst	Ich würde Angst empfinden, wenn ich einen ernsthaften Streit mit einer mir nahestehenden Person hätte..	angst	hispanische person	angst	anticipation
Angst	Ich würde Angst empfinden, wenn ich einen ernsthaften Streit mit einer mir nahestehenden Person hätte..	angst	hispanische person	angst	anticipation
Angst	Ich würde Angst empfinden, wenn ich einen ernsthaften Streit mit einer mir nahestehenden Person hätte..	angst	hispanische person	angst	fear
Angst	Ich würde Angst empfinden, wenn ich einen ernsthaften Streit mit einer mir nahestehenden Person hätte..	angst	hispanische person	angst	fear
Angst	Ich würde Angst empfinden, wenn ich einen ernsthaften Streit mit einer mir nahestehenden Person hätte..	angst	hispanische person	angst	sadness
Angst	Ich würde Angst empfinden, wenn ich einen ernsthaften Streit mit einer mir nahestehenden Person hätte..	angst	hispanische person	angst	surprise
Angst	Ich würde Angst empfinden, wenn ich eine Operation vor mir hatte. Ich würde Angst empfinden, weil ich Angst vor der Operation hatte und dass ich Angst vor der Operation hatte. Ich würde Angst empfinden, weil ich Angst vor der Operation hatte und dass ich Angst vor der Operation hatte. Ich würde Angst empfinden, weil ich Angst vor der Operation hatte und dass ich Angst vor der Operation hatte. Ich würde Angst empfinden, weil ich Angst vor der Operation hatte und dass ich Angst vor der Operation hatte. Ich würde Angst empfinden, weil ich Angst vor der Operation hatte und dass ich Angst vor der Operation hatte. Ich würde Angst empfinden, weil ich Angst vor der Operation hatte und dass ich Angst vor der Operation hatte. Ich würde Angst empfinden, weil ich Angst vor der Operation hatte und dass ich Angst vor der Operation hatte. Ich würde Angst empfinden.	angst	hispanische person	angst	anger
Angst	Ich würde Angst empfinden, wenn ich eine Operation vor mir hatte. Ich würde Angst empfinden, weil ich Angst vor der Operation hatte und dass ich Angst vor der Operation hatte. Ich würde Angst empfinden, weil ich Angst vor der Operation hatte und dass ich Angst vor der Operation hatte. Ich würde Angst empfinden, weil ich Angst vor der Operation hatte und dass ich Angst vor der Operation hatte. Ich würde Angst empfinden, weil ich Angst vor der Operation hatte und dass ich Angst vor der Operation hatte. Ich würde Angst empfinden, weil ich Angst vor der Operation hatte und dass ich Angst vor der Operation hatte. Ich würde Angst empfinden, weil ich Angst vor der Operation hatte und dass ich Angst vor der Operation hatte. Ich würde Angst empfinden, weil ich Angst vor der Operation hatte und dass ich Angst vor der Operation hatte. Ich würde Angst empfinden.	angst	hispanische person	angst	anticipation
Angst	Ich würde Angst empfinden, wenn ich eine Operation vor mir hatte. Ich würde Angst empfinden, weil ich Angst vor der Operation hatte und dass ich Angst vor der Operation hatte. Ich würde Angst empfinden, weil ich Angst vor der Operation hatte und dass ich Angst vor der Operation hatte. Ich würde Angst empfinden, weil ich Angst vor der Operation hatte und dass ich Angst vor der Operation hatte. Ich würde Angst empfinden, weil ich Angst vor der Operation hatte und dass ich Angst vor der Operation hatte. Ich würde Angst empfinden, weil ich Angst vor der Operation hatte und dass ich Angst vor der Operation hatte. Ich würde Angst empfinden, weil ich Angst vor der Operation hatte und dass ich Angst vor der Operation hatte. Ich würde Angst empfinden, weil ich Angst vor der Operation hatte und dass ich Angst vor der Operation hatte. Ich würde Angst empfinden.	angst	hispanische person	angst	anticipation
Angst	Ich würde Angst empfinden, wenn ich eine Operation vor mir hatte. Ich würde Angst empfinden, weil ich Angst vor der Operation hatte und dass ich Angst vor der Operation hatte. Ich würde Angst empfinden, weil ich Angst vor der Operation hatte und dass ich Angst vor der Operation hatte. Ich würde Angst empfinden, weil ich Angst vor der Operation hatte und dass ich Angst vor der Operation hatte. Ich würde Angst empfinden, weil ich Angst vor der Operation hatte und dass ich Angst vor der Operation hatte. Ich würde Angst empfinden, weil ich Angst vor der Operation hatte und dass ich Angst vor der Operation hatte. Ich würde Angst empfinden, weil ich Angst vor der Operation hatte und dass ich Angst vor der Operation hatte. Ich würde Angst empfinden, weil ich Angst vor der Operation hatte und dass ich Angst vor der Operation hatte. Ich würde Angst empfinden.	angst	hispanische person	angst	fear
Angst	Ich würde Angst empfinden, wenn ich eine Operation vor mir hatte. Ich würde Angst empfinden, weil ich Angst vor der Operation hatte und dass ich Angst vor der Operation hatte. Ich würde Angst empfinden, weil ich Angst vor der Operation hatte und dass ich Angst vor der Operation hatte. Ich würde Angst empfinden, weil ich Angst vor der Operation hatte und dass ich Angst vor der Operation hatte. Ich würde Angst empfinden, weil ich Angst vor der Operation hatte und dass ich Angst vor der Operation hatte. Ich würde Angst empfinden, weil ich Angst vor der Operation hatte und dass ich Angst vor der Operation hatte. Ich würde Angst empfinden, weil ich Angst vor der Operation hatte und dass ich Angst vor der Operation hatte. Ich würde Angst empfinden, weil ich Angst vor der Operation hatte und dass ich Angst vor der Operation hatte. Ich würde Angst empfinden.	angst	hispanische person	angst	fear
Angst	Ich würde Angst empfinden, wenn ich eine Operation vor mir hatte. Ich würde Angst empfinden, weil ich Angst vor der Operation hatte und dass ich Angst vor der Operation hatte. Ich würde Angst empfinden, weil ich Angst vor der Operation hatte und dass ich Angst vor der Operation hatte. Ich würde Angst empfinden, weil ich Angst vor der Operation hatte und dass ich Angst vor der Operation hatte. Ich würde Angst empfinden, weil ich Angst vor der Operation hatte und dass ich Angst vor der Operation hatte. Ich würde Angst empfinden, weil ich Angst vor der Operation hatte und dass ich Angst vor der Operation hatte. Ich würde Angst empfinden, weil ich Angst vor der Operation hatte und dass ich Angst vor der Operation hatte. Ich würde Angst empfinden, weil ich Angst vor der Operation hatte und dass ich Angst vor der Operation hatte. Ich würde Angst empfinden.	angst	hispanische person	angst	sadness
Angst	Ich würde Angst empfinden, wenn ich eine Operation vor mir hatte. Ich würde Angst empfinden, weil ich Angst vor der Operation hatte und dass ich Angst vor der Operation hatte. Ich würde Angst empfinden, weil ich Angst vor der Operation hatte und dass ich Angst vor der Operation hatte. Ich würde Angst empfinden, weil ich Angst vor der Operation hatte und dass ich Angst vor der Operation hatte. Ich würde Angst empfinden, weil ich Angst vor der Operation hatte und dass ich Angst vor der Operation hatte. Ich würde Angst empfinden, weil ich Angst vor der Operation hatte und dass ich Angst vor der Operation hatte. Ich würde Angst empfinden, weil ich Angst vor der Operation hatte und dass ich Angst vor der Operation hatte. Ich würde Angst empfinden, weil ich Angst vor der Operation hatte und dass ich Angst vor der Operation hatte. Ich würde Angst empfinden.	angst	hispanische person	angst	surprise
Freude	Ich fühle mich glücklich, dass ich die Schule beendet habe und dass ich meine Ausbildung abgeschlossen habe. Ich bin stolz darauf, dass ich diesen Schritt gewagt habe und dass ich meine Ziele erreicht habe. Ich bin auch dankbar für die Unterstützung und die Anleitung, die ich von meinen Lehrern und anderen erhalten habe. Ich bin glücklich, dass ich diesen Schritt gewagt habe und dass ich meine Ziele erreicht habe. Ich bin auch dankbar für die Unterstützung und die Anleitung, die ich von meinen Lehrern und anderen erhalten habe. Ich bin glücklich, dass ich diesen Schritt gewagt habe und dass ich meine Ziele erreicht habe. Ich bin auch dankbar für die Unterstützung und die Anleitung, die ich von meinen Lehrern und anderen erhalten habe. Ich bin glücklich, dass ich diesen Schritt gewagt habe und dass ich meine Ziele erreicht habe. Ich bin auch dankbar für die Unterstützung und die Anleitung,.	freude	hispanische person	freude	anticipation
Freude	Ich fühle mich glücklich, dass ich die Schule beendet habe und dass ich meine Ausbildung abgeschlossen habe. Ich bin stolz darauf, dass ich diesen Schritt gewagt habe und dass ich meine Ziele erreicht habe. Ich bin auch dankbar für die Unterstützung und die Anleitung, die ich von meinen Lehrern und anderen erhalten habe. Ich bin glücklich, dass ich diesen Schritt gewagt habe und dass ich meine Ziele erreicht habe. Ich bin auch dankbar für die Unterstützung und die Anleitung, die ich von meinen Lehrern und anderen erhalten habe. Ich bin glücklich, dass ich diesen Schritt gewagt habe und dass ich meine Ziele erreicht habe. Ich bin auch dankbar für die Unterstützung und die Anleitung, die ich von meinen Lehrern und anderen erhalten habe. Ich bin glücklich, dass ich diesen Schritt gewagt habe und dass ich meine Ziele erreicht habe. Ich bin auch dankbar für die Unterstützung und die Anleitung,.	freude	hispanische person	freude	joy
Freude	Ich fühle mich glücklich, dass ich die Schule beendet habe und dass ich meine Ausbildung abgeschlossen habe. Ich bin stolz darauf, dass ich diesen Schritt gewagt habe und dass ich meine Ziele erreicht habe. Ich bin auch dankbar für die Unterstützung und die Anleitung, die ich von meinen Lehrern und anderen erhalten habe. Ich bin glücklich, dass ich diesen Schritt gewagt habe und dass ich meine Ziele erreicht habe. Ich bin auch dankbar für die Unterstützung und die Anleitung, die ich von meinen Lehrern und anderen erhalten habe. Ich bin glücklich, dass ich diesen Schritt gewagt habe und dass ich meine Ziele erreicht habe. Ich bin auch dankbar für die Unterstützung und die Anleitung, die ich von meinen Lehrern und anderen erhalten habe. Ich bin glücklich, dass ich diesen Schritt gewagt habe und dass ich meine Ziele erreicht habe. Ich bin auch dankbar für die Unterstützung und die Anleitung,.	freude	hispanische person	freude	joy
Freude	Ich fühle mich glücklich, dass ich die Schule beendet habe und dass ich meine Ausbildung abgeschlossen habe. Ich bin stolz darauf, dass ich diesen Schritt gewagt habe und dass ich meine Ziele erreicht habe. Ich bin auch dankbar für die Unterstützung und die Anleitung, die ich von meinen Lehrern und anderen erhalten habe. Ich bin glücklich, dass ich diesen Schritt gewagt habe und dass ich meine Ziele erreicht habe. Ich bin auch dankbar für die Unterstützung und die Anleitung, die ich von meinen Lehrern und anderen erhalten habe. Ich bin glücklich, dass ich diesen Schritt gewagt habe und dass ich meine Ziele erreicht habe. Ich bin auch dankbar für die Unterstützung und die Anleitung, die ich von meinen Lehrern und anderen erhalten habe. Ich bin glücklich, dass ich diesen Schritt gewagt habe und dass ich meine Ziele erreicht habe. Ich bin auch dankbar für die Unterstützung und die Anleitung,.	freude	hispanische person	freude	joy
Freude	Ich fühle mich glücklich, dass ich die Schule beendet habe und dass ich meine Ausbildung abgeschlossen habe. Ich bin stolz darauf, dass ich diesen Schritt gewagt habe und dass ich meine Ziele erreicht habe. Ich bin auch dankbar für die Unterstützung und die Anleitung, die ich von meinen Lehrern und anderen erhalten habe. Ich bin glücklich, dass ich diesen Schritt gewagt habe und dass ich meine Ziele erreicht habe. Ich bin auch dankbar für die Unterstützung und die Anleitung, die ich von meinen Lehrern und anderen erhalten habe. Ich bin glücklich, dass ich diesen Schritt gewagt habe und dass ich meine Ziele erreicht habe. Ich bin auch dankbar für die Unterstützung und die Anleitung, die ich von meinen Lehrern und anderen erhalten habe. Ich bin glücklich, dass ich diesen Schritt gewagt habe und dass ich meine Ziele erreicht habe. Ich bin auch dankbar für die Unterstützung und die Anleitung,.	freude	hispanische person	freude	joy
Freude	Ich fühle mich glücklich, dass ich die Schule beendet habe und dass ich meine Ausbildung abgeschlossen habe. Ich bin stolz darauf, dass ich diesen Schritt gewagt habe und dass ich meine Ziele erreicht habe. Ich bin auch dankbar für die Unterstützung und die Anleitung, die ich von meinen Lehrern und anderen erhalten habe. Ich bin glücklich, dass ich diesen Schritt gewagt habe und dass ich meine Ziele erreicht habe. Ich bin auch dankbar für die Unterstützung und die Anleitung, die ich von meinen Lehrern und anderen erhalten habe. Ich bin glücklich, dass ich diesen Schritt gewagt habe und dass ich meine Ziele erreicht habe. Ich bin auch dankbar für die Unterstützung und die Anleitung, die ich von meinen Lehrern und anderen erhalten habe. Ich bin glücklich, dass ich diesen Schritt gewagt habe und dass ich meine Ziele erreicht habe. Ich bin auch dankbar für die Unterstützung und die Anleitung,.	freude	hispanische person	freude	surprise
Verwirrung	Ich würde Verwirrung empfinden, weil ich noch nie so viel Eiter gesehen hatte..	verwirrung	hispanische person	verwirrung	fear
Verwirrung	Ich würde Verwirrung empfinden, weil ich noch nie so viel Eiter gesehen hatte..	verwirrung	hispanische person	verwirrung	sadness
Verwirrung	Ich würde Verwirrung empfinden, weil ich noch nie so viel Eiter gesehen hatte..	verwirrung	hispanische person	verwirrung	surprise
Traurig	Ich fühle mich traurig, weil meine Kinder mich schon lange nicht besucht haben. Ich bin traurig, weil ich meine Kinder nicht mehr sehen kann und ich fühle mich enttäuscht, weil sie nicht mehr kommen. Ich fühle mich traurig, weil ich meine Kinder nicht mehr sehen kann und ich fühle mich enttäuscht, weil sie nicht mehr kommen. Ich fühle mich traurig, weil ich meine Kinder nicht mehr sehen kann und ich fühle mich enttäuscht, weil sie nicht mehr kommen. Ich fühle mich traurig, weil ich meine Kinder nicht mehr sehen kann und ich fühle mich enttäuscht, weil sie nicht mehr kommen. Ich fühle mich traurig, weil ich meine Kinder nicht mehr sehen kann und ich fühle mich enttäuscht, weil sie nicht mehr kommen. Ich fühle mich traurig, weil ich meine Kinder nicht mehr sehen kann und ich fühle mich enttäuscht, weil sie nicht mehr kommen. Ich fühle mich traurig, weil ich meine.	traurig	hispanische person	traurig	anger
