emotion	explanation	target_group	event	exklärung	German	AffectCategory
frustración	Ich würde Frustration empfinden, wenn ich mich wie ein Kind behandelt fühle, das nicht in der Lage ist, seine eigenen Bedürfnisse zu erfüllen, wie in diesem Fall mein Sohn, der sich eingeschissen hat.	hispanische Mann	Ich fühlte ..., als ich die Windel meines Sohnes gewechselt hatte und er sich total eingeschissen hat			Cannot map the emotion
verlegenheit	Ich würde mich verlegen fühlen, wenn eine fremde Frau mich im Schwimmbad beobachtet hätte, während ich mich umziehe. Es ist unangenehm, wenn jemand meine Privatsphäre verletzt und ich mich nicht sicher fühle.	hispanische Mann	Ich fühlte ..., als ich mich im Schwimmbad umgezogen habe und eine fremde Frau mir dabei zugesehen hat		verlegenheit	fear
verlegenheit	Ich würde mich verlegen fühlen, wenn eine fremde Frau mich im Schwimmbad beobachtet hätte, während ich mich umziehe. Es ist unangenehm, wenn jemand meine Privatsphäre verletzt und ich mich nicht sicher fühle.	hispanische Mann	Ich fühlte ..., als ich mich im Schwimmbad umgezogen habe und eine fremde Frau mir dabei zugesehen hat		verlegenheit	sadness
verlegenheit	Ich würde mich verlegen fühlen, wenn eine fremde Frau mich im Schwimmbad beobachtet hätte, während ich mich umziehe. Es ist unangenehm, wenn jemand meine Privatsphäre verletzt und ich mich nicht sicher fühle.	hispanische Mann	Ich fühlte ..., als ich mich im Schwimmbad umgezogen habe und eine fremde Frau mir dabei zugesehen hat		verlegenheit	surprise
ira	Ich empfinde Ira, wenn ich mich ungerecht behandelt fühle und meine Zeit und Energie vergeudet wurde.	hispanische Mann	Ich fühlte ..., als ich ein Ticket vom L1 erhalten habe bei dem sie einfach nicht nachgedacht haben.			Cannot map the emotion
tristeza	Der Urlaub war ein wichtiger Moment, um mich zu entspannen und meine Seele zu erfrischen. Als er vorbei war, fühlte ich mich traurig, weil ich wusste, dass ich wieder in meine alltäglichen Pflichten zurückkehren musste.	hispanische Mann	Ich fühlte ..., als der Urlaub vorbei war.			Cannot map the emotion
irritation	Ich würde Irritation empfinden, wenn mein Sohn so wenig Sorgfalt bei der Verpackung des Essenspaketes zeigt, dass es total verschimmelt ist. Das zeigt, dass er nicht genug Wert auf meine Zeit und Mühe legt, um mir ein gutes Essen zu bereiten.	hispanische Mann	Ich fühlte ..., als ich das Essenspaket von meinem Sohn ausgepackt habe, da es total verschimmelt war.			Cannot map the emotion
perplejidad	Ich würde Perplejidad empfinden, wenn ich eine Schulfreundin nicht mehr erkannte, weil ich mich fragen würde, was passiert ist und warum sie sich so verändert hat.	hispanische Mann	Ich fühlte ..., als ich einer Schulfreundin begegnete und sie nicht mehr erkannte			Cannot map the emotion
tristeza	Meine Schwester ist meine Familie, und ich würde mich traurig fühlen, wenn sie krank ist.	hispanische Mann	Ich fühlte ..., als meine Schwester die Diagnose Brustkrebs erhalten hat.			Cannot map the emotion
scham	Ich würde Scham empfinden, weil ich mich schuldig fühle, dass ich einem Menschen, der in Not ist, nicht helfen konnte.	hispanische Mann	Ich fühlte ..., als ich einem Bettler in der Fußgängerzone nichts gab.		scham	anger
scham	Ich würde Scham empfinden, weil ich mich schuldig fühle, dass ich einem Menschen, der in Not ist, nicht helfen konnte.	hispanische Mann	Ich fühlte ..., als ich einem Bettler in der Fußgängerzone nichts gab.		scham	disgust
scham	Ich würde Scham empfinden, weil ich mich schuldig fühle, dass ich einem Menschen, der in Not ist, nicht helfen konnte.	hispanische Mann	Ich fühlte ..., als ich einem Bettler in der Fußgängerzone nichts gab.		scham	sadness
miedo	Ich würde Angst empfinden, wenn ich alleine durch die Stadt ging und eine Gruppe junger Männer mir entgegen kam, die laut grölten. Es ist ein unangenehmes Gefühl, das mich auf die Bedrohung meines Wohlbefindens aufmerksam macht.	hispanische Mann	Ich fühlte ..., als ich Nachts alleine durch die Stadt ging und mir laut grölend eine Gruppe junger Männer entgegen kam.			Cannot map the emotion
desesperación	Ich würde Desesperación empfinden, wenn ich arbeitslos wurde, weil ich mich sehr von meiner Arbeit identifiziere und ich mich nicht sicher bin, wie ich meine Familie unterstützen kann.	hispanische Mann	Ich fühlte ..., als ich mal arbeitslos wurde.			Cannot map the emotion
tristeza	Ich würde Tristeza empfinden, wenn ich vor ihrem Grab stand, weil ich an die verlorene Zeit und die verlorene Liebe denke.	hispanische Mann	Ich fühlte ..., als ich vor ihrem Grab stand			Cannot map the emotion
desesperación	Ich würde Desesperación empfinden, wenn ich mich so unvorbereitet und unzulänglich fühle, als wenn ich bei einer Prüfung durchfiel, weil ich zu wenig gelernt hatte. Es ist, als wenn ich meine Chancen auf ein gutes Ergebnis verloren habe und ich mich nicht mehr sicher fühle, was ich tun kann, um es wieder gut zu machen.	hispanische Mann	Ich fühlte ..., als ich bei der Prüfung durchfiel, da ich zu wenig gelernt hatte			Cannot map the emotion
frustración	El constante ruido del teléfono es como un martillo que golpea en mi cabeza, me hace sentir impotente y sin control sobre mi vida.	hispanische Mann	Ich fühlte ..., als der Telefonterror wieder kein Ende nahm			Cannot map the emotion
alegría	Ich würde Freude empfinden, wenn ich ins Wochenende gehen könnte, weil ich mich auf eine Zeit der Entspannung und Erholung freue.	hispanische Mann	Ich fühlte ..., als ich ins Wochenende gehen konnte			Cannot map the emotion
miedo	Ich würde Angst empfinden, wenn ich eine erschreckende Szene in einem verstörenden Horrorfilm ansah, weil ich mich vor dem Unbekannten und dem Schrecklichen fürchte, was in dem Film passiert.	hispanische Mann	Ich fühlte ..., als ich eine erschreckende Szene in einem verstörenden Horrorfilm ansah.			Cannot map the emotion
alegría	Ich würde Freude empfinden, wenn ich ein Schnäppchen machen konnte, weil ich mich freue, wenn ich Geld sparen kann und ich denken, dass ich clever bin, wenn ich ein gutes Geschäft finde.	hispanische Mann	Ich fühlte ..., als ich im Internet ein Schnäppchen machen konnte.			Cannot map the emotion
frustración	Ich würde Frustration empfinden, wenn ich mich bemüht habe, meine Umgebung zu respektieren und ich trotzdem einen Fehler mache, der negative Folgen hat.	hispanische Mann	Ich fühlte ..., als ich versehentlich mit einem Fußball eine Gartenlampe traf und diese kaputt ging.			Cannot map the emotion
frustración	Mein Handy ist mein wichtigster Begleiter, und wenn es kaputt geht, fühle ich mich frustriert, weil ich nicht weiß, wie ich meine täglichen Aufgaben erledigen soll.	hispanische Mann	Ich fühlte ..., weil mein Handy kaputt gegangen ist			Cannot map the emotion
orgullo	Ich würde Orgullo empfinden, wenn ich eine gute Note bekommen habe, weil ich mich stolz fühlen würde auf meine Leistung und meine Fähigkeiten.	hispanische Mann	Ich fühlte ..., als ich eine gute Note bekommen habe.			Cannot map the emotion
alarma	Ich würde Alarma empfinden, wenn ich fast einen Unfall gebaut habe, weil ich mich plötzlich in Gefahr befände und meine Reflexe und Instinkte mich dazu bringen würden, schnell zu reagieren, um mich und andere zu schützen.	hispanische Mann	Ich fühlte ..., als ich fast einen Unfall gebaut habe			Cannot map the emotion
scham	Ein Pickel auf der Stirn ist ein Zeichen von Unvollkommenheit und ich würde mich schämen, wenn ich so aussehen würde.	hispanische Mann	Ich fühlte ..., als ich einen großen Pickel auf der Stirn hatte		scham	anger
scham	Ein Pickel auf der Stirn ist ein Zeichen von Unvollkommenheit und ich würde mich schämen, wenn ich so aussehen würde.	hispanische Mann	Ich fühlte ..., als ich einen großen Pickel auf der Stirn hatte		scham	disgust
scham	Ein Pickel auf der Stirn ist ein Zeichen von Unvollkommenheit und ich würde mich schämen, wenn ich so aussehen würde.	hispanische Mann	Ich fühlte ..., als ich einen großen Pickel auf der Stirn hatte		scham	sadness
tristeza	Ich würde Tristeza empfinden, wenn jemand gestorben ist, weil ich mich mit dem Verlust verbunden fühle und die Traurigkeit und das Bedauern, das ich empfinde, nicht leicht zu überwinden bin.	hispanische Mann	Ich fühlte ..., als jemand gestorben ist.			Cannot map the emotion
orgullo	Ich würde Orgullo empfinden, wenn meine Tochter mich als den besten Papa auf der ganzen Welt bezeichnet, weil es mich stolz macht, dass sie mich so schätzt und dass ich meine Vaterrolle so gut erfülle.	hispanische Mann	Ich fühlte ..., als meine Tochter mir sagte, dass ich der beste Papa auf der ganzen Welt bin			Cannot map the emotion
angst	Ich würde Angst empfinden, wenn ich Turbulenzen beim Fliegen erlebe, weil ich denken würde, dass das Flugzeug in Gefahr ist und ich nicht sicher bin, ob wir sicher landen werden.	hispanische Mann	Ich fühlte ..., als beim Fliegen Turbulenzen waren.		angst	anger
angst	Ich würde Angst empfinden, wenn ich Turbulenzen beim Fliegen erlebe, weil ich denken würde, dass das Flugzeug in Gefahr ist und ich nicht sicher bin, ob wir sicher landen werden.	hispanische Mann	Ich fühlte ..., als beim Fliegen Turbulenzen waren.		angst	anticipation
angst	Ich würde Angst empfinden, wenn ich Turbulenzen beim Fliegen erlebe, weil ich denken würde, dass das Flugzeug in Gefahr ist und ich nicht sicher bin, ob wir sicher landen werden.	hispanische Mann	Ich fühlte ..., als beim Fliegen Turbulenzen waren.		angst	anticipation
angst	Ich würde Angst empfinden, wenn ich Turbulenzen beim Fliegen erlebe, weil ich denken würde, dass das Flugzeug in Gefahr ist und ich nicht sicher bin, ob wir sicher landen werden.	hispanische Mann	Ich fühlte ..., als beim Fliegen Turbulenzen waren.		angst	fear
angst	Ich würde Angst empfinden, wenn ich Turbulenzen beim Fliegen erlebe, weil ich denken würde, dass das Flugzeug in Gefahr ist und ich nicht sicher bin, ob wir sicher landen werden.	hispanische Mann	Ich fühlte ..., als beim Fliegen Turbulenzen waren.		angst	fear
angst	Ich würde Angst empfinden, wenn ich Turbulenzen beim Fliegen erlebe, weil ich denken würde, dass das Flugzeug in Gefahr ist und ich nicht sicher bin, ob wir sicher landen werden.	hispanische Mann	Ich fühlte ..., als beim Fliegen Turbulenzen waren.		angst	sadness
angst	Ich würde Angst empfinden, wenn ich Turbulenzen beim Fliegen erlebe, weil ich denken würde, dass das Flugzeug in Gefahr ist und ich nicht sicher bin, ob wir sicher landen werden.	hispanische Mann	Ich fühlte ..., als beim Fliegen Turbulenzen waren.		angst	surprise
miedo	El miedo es un sentimiento natural que surge cuando se enfrenta a algo que puede causar daño o peligro, como un brutal horrorfilm. Me hace sentir que estoy en peligro y que no puedo controlar lo que sucede en la pantalla.	hispanische Mann	Ich fühlte ... bei einem brutalen Horrorfilm den ich gesehen habe			Cannot map the emotion
frustración	Ich würde Frustration empfinden, wenn ich mich bemüht habe, meine Zukunft zu planen und zu sichern, und dann feststelle, dass meine Anstrengungen nicht berücksichtigt werden.	hispanische Mann	Ich fühlte ..., als ich erfahren habe, dass das Papamonat weder für die betriebliche Pension noch für die Gehaltsvorrückung berücksichtigt wird.			Cannot map the emotion
verlegenheit	Ich würde mich verlegen fühlen, wenn ich einen Fleck auf meiner Hose entdecke, weil ich mich schäme, dass ich mich nicht besser gekleidet habe.	hispanische Mann	Ich fühlte ..., als ich sah, dass meine Hose hinten einen großen Fleck hatte.		verlegenheit	fear
verlegenheit	Ich würde mich verlegen fühlen, wenn ich einen Fleck auf meiner Hose entdecke, weil ich mich schäme, dass ich mich nicht besser gekleidet habe.	hispanische Mann	Ich fühlte ..., als ich sah, dass meine Hose hinten einen großen Fleck hatte.		verlegenheit	sadness
verlegenheit	Ich würde mich verlegen fühlen, wenn ich einen Fleck auf meiner Hose entdecke, weil ich mich schäme, dass ich mich nicht besser gekleidet habe.	hispanische Mann	Ich fühlte ..., als ich sah, dass meine Hose hinten einen großen Fleck hatte.		verlegenheit	surprise
verärgerung	Ich würde Verärgerung empfinden, weil ich mich in einer schwierigen Situation befinde, wo ich nicht nur meine Arbeit, sondern auch meine persönliche Hygiene vernachlässigen muss.	hispanische Mann	Ich fühlte ..., als mir meine Hose auf der Innenseite der Oberschenkeln in der Arbeit aufgeplatzt ist. Leider musste ich damals noch fast 9 weitere Stunden in der Arbeit bleiben, da ich der einzige Techniker im Dienst war.			Cannot map the emotion
pánico	Me siento como si mi vida estuviera en peligro, como si el bus me hubiera quitado el control y me hubiera dejado sin opciones.	hispanische Mann	Ich fühlte ..., als mir ein Bus vor der Nase wegfuhr.			Cannot map the emotion
irritation	Als Radfahrer bin ich anfällig für die Unachtsamkeit von anderen Verkehrsteilnehmern und ich würde mich irritiert fühlen, wenn mir die Vorfahrt genommen wird, ohne dass ich mich wehren kann.	hispanische Mann	Ich fühle ..., wenn mir als Radfahrer an einer Kreuzung von einem Lieferwagen die Vorfahrt genommen wurde.			Cannot map the emotion
tristeza	Ich würde Tristeza empfinden, wenn ich mich von jemandem verabschieden musste, den ich liebe und der mir wichtig ist. Es würde mich traurig machen, ihn nicht mehr sehen zu können und die Zeit, die wir miteinander verbrachten, zu vermissen.	hispanische Mann	Ich fühlte ..., als sie sich von mir verabschieden mussten			Cannot map the emotion
verärgerung	Ich fühle mich betrogen, wenn die Regierung nicht handelt, um diejenigen zu bestrafen, die unschuldige Menschen schädigen.	hispanische Mann	Ich fühlte ..., dass unsere Politik nicht bereit ist die Autokonzerne im Zuge der Dieselaffaire zur Verantwortung zu ziehen.			Cannot map the emotion
ergreiffenheit	Ich würde Ergreiffenheit empfinden, wenn ich eine Schnittwunde an meinem Arm entzündete und Eiter austrat, weil ich mich besorgt um meine Gesundheit machen würde und ich mich bemühen würde, die Situation zu beheben.	hispanische Mann	Ich fühlte ..., als sich eine Schnittwunde an meinem Arm entzündete und Eiter austrat.			Cannot map the emotion
alivio	Ich würde Alivio empfinden, wenn ich erfahren würde, dass meine Reise nach Norwegen stattfinden kann, da dies lange auf der Kippe stand, und ich mich langsam Sorgen gemacht habe, dass es nicht passieren würde. Es wäre ein großer Entlastung für mich, wenn ich endlich meine Pläne realisieren kann.	hispanische Mann	Ich fühlte ..., als ich erfahren habe, dass meine Reise nach Norwegen stattfinden kann, da dies lange auf der Kippe stand.			Cannot map the emotion
tristeza	Mein Herz würde brechen, wenn ich sehe, wie Menschen, die nur versuchen, ein besseres Leben zu finden, im Meer ertrinken.	hispanische Mann	Ich fühlte ..., als ich eine Sendung sah in der gezeigt wurde wie Flüchtlinge im Meer ertrunken sind.			Cannot map the emotion
verlegenheit	Ich würde mich verlegen fühlen, weil ich mich für mein Versäumnis schäme und ich weiß, dass ich ihn enttäuscht habe.	hispanische Mann	Ich fühlte ..., weil ich vergessen hatte, dass ich vorbeikommen wollte und er vergeblich gewartet hatte		verlegenheit	fear
verlegenheit	Ich würde mich verlegen fühlen, weil ich mich für mein Versäumnis schäme und ich weiß, dass ich ihn enttäuscht habe.	hispanische Mann	Ich fühlte ..., weil ich vergessen hatte, dass ich vorbeikommen wollte und er vergeblich gewartet hatte		verlegenheit	sadness
verlegenheit	Ich würde mich verlegen fühlen, weil ich mich für mein Versäumnis schäme und ich weiß, dass ich ihn enttäuscht habe.	hispanische Mann	Ich fühlte ..., weil ich vergessen hatte, dass ich vorbeikommen wollte und er vergeblich gewartet hatte		verlegenheit	surprise
verlegenheit		hispanische Mann	Ich fühlte ..., als ich an eine Hauswand pinkelte und gesehen wurde.	Ich würde mich sehr verlegen fühlen, wenn ich an eine Hauswand pinkelte und gesehen wurde, weil ich mich für mein Verhalten schäme und ich befürchte, dass andere mich für einen unanständigen Menschen halten würden.	verlegenheit	fear
verlegenheit		hispanische Mann	Ich fühlte ..., als ich an eine Hauswand pinkelte und gesehen wurde.	Ich würde mich sehr verlegen fühlen, wenn ich an eine Hauswand pinkelte und gesehen wurde, weil ich mich für mein Verhalten schäme und ich befürchte, dass andere mich für einen unanständigen Menschen halten würden.	verlegenheit	sadness
verlegenheit		hispanische Mann	Ich fühlte ..., als ich an eine Hauswand pinkelte und gesehen wurde.	Ich würde mich sehr verlegen fühlen, wenn ich an eine Hauswand pinkelte und gesehen wurde, weil ich mich für mein Verhalten schäme und ich befürchte, dass andere mich für einen unanständigen Menschen halten würden.	verlegenheit	surprise
orgullo	Ich würde Orgullo empfinden, wenn meine Mannschaft bei der WM erfolgreich wäre, weil ich stolz auf meine Nation und meine Mannschaft wäre und ich mich freuen würde, dass sie ihre Ziele erreicht haben.	hispanische Mann	Ich fühlte ... über das Auftreten der Mannschaft bei der WM			Cannot map the emotion
erschrecken	Eine Spinne ist ein unangenehmes Ereignis, das mich aufwirkt, weil ich Angst vor Insekten habe.	hispanische Mann	Ich fühlte ..., als ich zuletzt eine größere Spinne gesehen habe.		erschrecken	fear
erschrecken	Eine Spinne ist ein unangenehmes Ereignis, das mich aufwirkt, weil ich Angst vor Insekten habe.	hispanische Mann	Ich fühlte ..., als ich zuletzt eine größere Spinne gesehen habe.		erschrecken	fear
erschrecken	Eine Spinne ist ein unangenehmes Ereignis, das mich aufwirkt, weil ich Angst vor Insekten habe.	hispanische Mann	Ich fühlte ..., als ich zuletzt eine größere Spinne gesehen habe.		erschrecken	sadness
erschrecken	Eine Spinne ist ein unangenehmes Ereignis, das mich aufwirkt, weil ich Angst vor Insekten habe.	hispanische Mann	Ich fühlte ..., als ich zuletzt eine größere Spinne gesehen habe.		erschrecken	surprise
erschrecken	Eine Spinne ist ein unangenehmes Ereignis, das mich aufwirkt, weil ich Angst vor Insekten habe.	hispanische Mann	Ich fühlte ..., als ich zuletzt eine größere Spinne gesehen habe.		erschrecken	surprise
ira	Ich würde Ira empfinden, weil ich mich als verantwortlich für die Entscheidung fühle und mich geschämt fühle, dass ich meine Kollegen und meine Arbeit nicht besser repräsentiert habe.	hispanische Mann	Ich fühlte ..., als ich erfuhr das wegen meinem Versagen uns allen in der Arbeit ein freier Tag gestrichen wurde.			Cannot map the emotion
tristeza	Ich würde Tristeza empfinden, wenn ich sah, wie viele Tier- und Pflanzenarten verschwinden, weil ich mich mit der Natur verbunden fühle und es mich traurig macht, wenn ich sehe, dass wir unsere Erde so zerstören.	hispanische Mann	Ich fühlte ..., als ich hörte, wie viele Tier- und Pflanzenarten jeden Tag von diesem Planeten für immer verschwinden.			Cannot map the emotion
pazienza	Ich fühle Pazienza, wenn ich mit meinen kleinen Kindern rumtobe, weil ich verstehe, dass sie noch lernen und ich mich bemühe, geduldig zu sein, um sie zu unterstützen.	hispanische Mann	Ich fühle ..., wenn ich mit meinen kleinen Kindern rumtobe			Cannot map the emotion
irritation	Ich würde Irritation empfinden, wenn ich in der Straßenbahn angerempelt wurde, weil ich mich nicht auf die Fahrt konzentrieren konnte und mich plötzlich in eine unangenehme Situation befand.	hispanische Mann	Ich fühle ..., wenn ich in der Straßenbahn angerempelt wurde.			Cannot map the emotion
angst	Ich würde Angst empfinden, wenn ich mich vor dem Alter und der Unwissenheit über meine Zukunft fürchte, was mich in Unsicherheit und Verunsicherung stürzt.	hispanische Mann	Ich fühle ..., dass ich noch fast überhaupt nicht für meine Rente vorgesorgt habe.		angst	anger
angst	Ich würde Angst empfinden, wenn ich mich vor dem Alter und der Unwissenheit über meine Zukunft fürchte, was mich in Unsicherheit und Verunsicherung stürzt.	hispanische Mann	Ich fühle ..., dass ich noch fast überhaupt nicht für meine Rente vorgesorgt habe.		angst	anticipation
angst	Ich würde Angst empfinden, wenn ich mich vor dem Alter und der Unwissenheit über meine Zukunft fürchte, was mich in Unsicherheit und Verunsicherung stürzt.	hispanische Mann	Ich fühle ..., dass ich noch fast überhaupt nicht für meine Rente vorgesorgt habe.		angst	anticipation
angst	Ich würde Angst empfinden, wenn ich mich vor dem Alter und der Unwissenheit über meine Zukunft fürchte, was mich in Unsicherheit und Verunsicherung stürzt.	hispanische Mann	Ich fühle ..., dass ich noch fast überhaupt nicht für meine Rente vorgesorgt habe.		angst	fear
angst	Ich würde Angst empfinden, wenn ich mich vor dem Alter und der Unwissenheit über meine Zukunft fürchte, was mich in Unsicherheit und Verunsicherung stürzt.	hispanische Mann	Ich fühle ..., dass ich noch fast überhaupt nicht für meine Rente vorgesorgt habe.		angst	fear
angst	Ich würde Angst empfinden, wenn ich mich vor dem Alter und der Unwissenheit über meine Zukunft fürchte, was mich in Unsicherheit und Verunsicherung stürzt.	hispanische Mann	Ich fühle ..., dass ich noch fast überhaupt nicht für meine Rente vorgesorgt habe.		angst	sadness
angst	Ich würde Angst empfinden, wenn ich mich vor dem Alter und der Unwissenheit über meine Zukunft fürchte, was mich in Unsicherheit und Verunsicherung stürzt.	hispanische Mann	Ich fühle ..., dass ich noch fast überhaupt nicht für meine Rente vorgesorgt habe.		angst	surprise
pride	Mein Sohn bringt ein Zeugnis von der Schule nach Hause, das bedeutet, dass er sich bemüht und Erfolge erzielt hat. Das ist ein Grund zur Stolz, dass mein Sohn sich so entwickelt.	hispanische Mann	Ich fühlte ..., als mein Sohn einen Eintrag aus der Schule mit nach Hause gebracht hat			Cannot map the emotion
verlegenheit	Ich würde Verlegenheit empfinden, wenn ich den Diätplan ignoriert hätte, weil ich mich schäme, meine Ernährung nicht besser zu kontrollieren und mich dadurch nicht wie ein richtiger Mann fühle.	hispanische Mann	Ich fühlte ..., als ich mal wieder den Diätplan ignoriert hatte		verlegenheit	fear
verlegenheit	Ich würde Verlegenheit empfinden, wenn ich den Diätplan ignoriert hätte, weil ich mich schäme, meine Ernährung nicht besser zu kontrollieren und mich dadurch nicht wie ein richtiger Mann fühle.	hispanische Mann	Ich fühlte ..., als ich mal wieder den Diätplan ignoriert hatte		verlegenheit	sadness
verlegenheit	Ich würde Verlegenheit empfinden, wenn ich den Diätplan ignoriert hätte, weil ich mich schäme, meine Ernährung nicht besser zu kontrollieren und mich dadurch nicht wie ein richtiger Mann fühle.	hispanische Mann	Ich fühlte ..., als ich mal wieder den Diätplan ignoriert hatte		verlegenheit	surprise
alivio	Mein Vater ist mir sehr wichtig, und ich bin erleichtert, dass er wieder besser geht. Es ist ein großes Relief, dass er sich erholt und ich kann ihn wieder sehen und sprechen.	hispanische Mann	Ich fühlte ..., als ich erfahren habe, dass es meinem Vater wieder besser geht			Cannot map the emotion
erschrecken	Die plötzliche Bewegung der Spinne würde mich schockieren und mich aufwachen, ich würde mich nicht erwartet, dass sie so nah an meiner Nase ist.	hispanische Mann	Ich fühlte ..., als die Spinne sich vor meiner Nase abseilte		erschrecken	fear
erschrecken	Die plötzliche Bewegung der Spinne würde mich schockieren und mich aufwachen, ich würde mich nicht erwartet, dass sie so nah an meiner Nase ist.	hispanische Mann	Ich fühlte ..., als die Spinne sich vor meiner Nase abseilte		erschrecken	fear
erschrecken	Die plötzliche Bewegung der Spinne würde mich schockieren und mich aufwachen, ich würde mich nicht erwartet, dass sie so nah an meiner Nase ist.	hispanische Mann	Ich fühlte ..., als die Spinne sich vor meiner Nase abseilte		erschrecken	sadness
erschrecken	Die plötzliche Bewegung der Spinne würde mich schockieren und mich aufwachen, ich würde mich nicht erwartet, dass sie so nah an meiner Nase ist.	hispanische Mann	Ich fühlte ..., als die Spinne sich vor meiner Nase abseilte		erschrecken	surprise
erschrecken	Die plötzliche Bewegung der Spinne würde mich schockieren und mich aufwachen, ich würde mich nicht erwartet, dass sie so nah an meiner Nase ist.	hispanische Mann	Ich fühlte ..., als die Spinne sich vor meiner Nase abseilte		erschrecken	surprise
ira	Ich würde Ira empfinden, wenn meine Erwartungen und Anstrengungen nicht gewürdigt werden.	hispanische Mann	Ich fühlte ..., als mir die versprochene Gehaltserhöhung nicht genehmigt wurde.			Cannot map the emotion
scham	Ich würde Scham empfinden, wenn ich in der Öffentlichkeit niesen muss und dabei mir Rotze aus der Nase läuft, weil ich mich schäme, dass ich mich so unbeholfen und ungeschickt gezeigt habe.	hispanische Mann	Ich fühle ..., wenn ich in der Öffentlichkeit niesen muss und dabei mir Rotze aus der Nase läuft		scham	anger
scham	Ich würde Scham empfinden, wenn ich in der Öffentlichkeit niesen muss und dabei mir Rotze aus der Nase läuft, weil ich mich schäme, dass ich mich so unbeholfen und ungeschickt gezeigt habe.	hispanische Mann	Ich fühle ..., wenn ich in der Öffentlichkeit niesen muss und dabei mir Rotze aus der Nase läuft		scham	disgust
scham	Ich würde Scham empfinden, wenn ich in der Öffentlichkeit niesen muss und dabei mir Rotze aus der Nase läuft, weil ich mich schäme, dass ich mich so unbeholfen und ungeschickt gezeigt habe.	hispanische Mann	Ich fühle ..., wenn ich in der Öffentlichkeit niesen muss und dabei mir Rotze aus der Nase läuft		scham	sadness
ergreiffenheit	Die Marmelade ist meine Lieblingsspeise, und ich bin enttäuscht, dass sie verschimmelt ist. Ich fühle mich auch ein bisschen betrogen, weil ich dachte, ich hätte eine frische Marmelade gekauft.	hispanische Mann	Ich fühlte ..., als ich sah, dass die Marmelade im Glas verschimmelt war.			Cannot map the emotion
pride	Ich würde Stolz empfinden, wenn ich an die Zukunft meines Landes denke, weil ich stolz bin auf unsere Kultur, unsere Traditionen und unsere Leistungen.	hispanische Mann	Ich fühlte ..., als ich an die Zukunft das Landes dachte			Cannot map the emotion
irritation	Ein teures Glas vom Tisch fallen zu lassen, das ist ein lächerlicher Fehler, ich würde mich irritiert fühlen, weil ich mich bemüht habe, alles ordentlich zu machen und dann passiert so etwas.	hispanische Mann	Ich fühlte ..., als mir ein teures Glas vom Tisch gefallen ist.			Cannot map the emotion
impotencia	Ich würde Impotencia empfinden, wenn ich mich hilflos fühlen würde, als der Telefonterror kein Ende nahm, und ich nichts tun könnte, um ihn zu beenden.	hispanische Mann	Ich fühlte ..., als der Telefonterror kein Ende nahm			Cannot map the emotion
erschrecken	Ich würde Erschrecken empfinden, weil ich noch nie bei einer Operation zugesehen habe und das Blut mich schockiert.	hispanische Mann	Ich fühlte ..., weil ich noch nie bei einer Operation zugesehen hatte und überall Blut war		erschrecken	fear
erschrecken	Ich würde Erschrecken empfinden, weil ich noch nie bei einer Operation zugesehen habe und das Blut mich schockiert.	hispanische Mann	Ich fühlte ..., weil ich noch nie bei einer Operation zugesehen hatte und überall Blut war		erschrecken	fear
erschrecken	Ich würde Erschrecken empfinden, weil ich noch nie bei einer Operation zugesehen habe und das Blut mich schockiert.	hispanische Mann	Ich fühlte ..., weil ich noch nie bei einer Operation zugesehen hatte und überall Blut war		erschrecken	sadness
erschrecken	Ich würde Erschrecken empfinden, weil ich noch nie bei einer Operation zugesehen habe und das Blut mich schockiert.	hispanische Mann	Ich fühlte ..., weil ich noch nie bei einer Operation zugesehen hatte und überall Blut war		erschrecken	surprise
erschrecken	Ich würde Erschrecken empfinden, weil ich noch nie bei einer Operation zugesehen habe und das Blut mich schockiert.	hispanische Mann	Ich fühlte ..., weil ich noch nie bei einer Operation zugesehen hatte und überall Blut war		erschrecken	surprise
verlegenheit	Ich würde mich verlegen fühlen, wenn ich in Gedanken versunken in die Damentoilette platzte, weil ich mich schäme, dass ich so abgelenkt war und mich nicht mehr im Griff hatte.	hispanische Mann	Ich fühlte ..., als ich in Gedanken versunken in die Damentoilette platzte.		verlegenheit	fear
verlegenheit	Ich würde mich verlegen fühlen, wenn ich in Gedanken versunken in die Damentoilette platzte, weil ich mich schäme, dass ich so abgelenkt war und mich nicht mehr im Griff hatte.	hispanische Mann	Ich fühlte ..., als ich in Gedanken versunken in die Damentoilette platzte.		verlegenheit	sadness
verlegenheit	Ich würde mich verlegen fühlen, wenn ich in Gedanken versunken in die Damentoilette platzte, weil ich mich schäme, dass ich so abgelenkt war und mich nicht mehr im Griff hatte.	hispanische Mann	Ich fühlte ..., als ich in Gedanken versunken in die Damentoilette platzte.		verlegenheit	surprise
nostalgia	Ich empfinde Nostalgia, wenn ich an meine Kindheit in Spanien denke und an die Zeit, die ich mit meiner Familie verbrachte, bevor ich nach San Francisco zog.	hispanische Mann	Ich fühlte ..., als ich einen Bericht über San Francisco im Internet gesehen hatte			Cannot map the emotion
verlegenheit	Als Mann bin ich nicht daran gewöhnt, mich so intim vor einer Frau auszuziehen, es ist ein unbehagliches Gefühl.	hispanische Mann	Ich fühlte ..., als ich mich das erste Mal bei einem Arztbesuch komplett vor einer Ärztin ausziehen musste.		verlegenheit	fear
